video_id,delta_function,delta_pronoun,delta_ppron,delta_i,delta_we,delta_you,delta_shehe,delta_they,delta_ipron,delta_casepart,delta_auxverb,delta_adverb,delta_conj,delta_negate,delta_verb,delta_interrog,delta_number,delta_quant,delta_adjverb,delta_preadj,delta_affect,delta_posemo,delta_negemo,delta_anx,delta_anger,delta_sad,delta_social,delta_family,delta_friend,delta_female,delta_male,delta_cogproc,delta_insight,delta_cause,delta_discrep,delta_tentat,delta_certain,delta_differ,delta_percept,delta_see,delta_hear,delta_feel,delta_bio,delta_body,delta_health,delta_sexual,delta_ingest,delta_drives,delta_affiliation,delta_achieve,delta_power,delta_reward,delta_risk,delta_relativ,delta_motion,delta_space,delta_time,delta_work,delta_leisure,delta_home,delta_money,delta_relig,delta_death,delta_informal,delta_swear,delta_netspeak,delta_assent,delta_nonflu,delta_filler,delta_len
g6VR-B0GaS4,-3.7417980023410564,-0.915740343072005,0.03136669508183776,0.030063488526706095,0.0,0.0,0.0,0.0,-0.9530163365312747,-1.2336705071123575,-0.2663885456903281,-0.5556428080396567,-0.7553883439009148,-0.6120289259887701,0.1976279926303608,-0.06751895750333162,-0.12592618407700173,-0.4527363681178941,-0.045274708307415396,-0.1432951281745837,-0.2728831485534662,-0.09951381689591621,-0.24540464322450317,-0.015817954178936083,-0.05839651161741005,-0.02659184269844171,0.05593742915572264,0.02945675412847934,0.05204923940284799,-0.02163751479768944,0.0,-0.7291233073684049,-0.0157496463327782,0.10962739623589446,-0.049184327972810374,-0.2324516004756048,-0.15320378397608825,-0.489753863257389,0.743868426551801,-0.007043744371466987,0.12555651808602913,0.1615293049901667,-0.7008800220363787,-0.2913865386450838,-0.6336771557427197,-0.015728216420257943,0.030052773570446,-0.022466584538312517,0.12269160665599155,0.18645899009876432,-0.22046424315964563,0.0781026555492208,-0.12930809214658795,-0.5039953794965619,-0.11984812513847398,-0.4462417652547557,-0.1830409190518001,-0.4134606959465883,0.019716858888070954,0.09853741650671692,-0.08489861655717365,0.0,-0.031456432840515886,-0.644978755858034,0.0,0.0,-0.039713646008436354,-0.38721708932659904,-0.2652112398712523,17128
UDYLZB3xfr4,-4.798075674953957,-0.7063739610724395,-0.11394867966531277,-0.0836194138051611,0.04316054380826642,0.0,0.0,0.005005255518294209,-0.5824147703705387,-2.6360381247522824,-0.6155019112803375,-0.43593025718041245,-0.9597706250833529,-0.49027350928072133,-0.33201082229777956,-0.03050790551038357,0.6705664126051776,0.06906128590480498,-0.005422081368835208,0.003992964166980362,-0.4443925579149912,-0.19699136171579257,-0.22036906965119163,-0.07384708896888184,-0.09069006483006864,-0.035155881728214045,0.2528078891337442,0.0,0.011659080692660726,0.016545243110800356,-0.0870356462174603,-0.37729296285093383,0.23697720462387117,-0.04856054611920779,0.044749566914261435,-0.07338945031435529,-0.06320029962753493,-0.4798274386474999,0.04308226351209754,0.024490358640775478,0.07124577451157293,-0.03922712619136348,0.036190252137421774,-0.000476372400618319,0.04520720556878799,0.011420894492351591,-0.018551092067336378,-0.25784726683241965,0.159810897284951,0.05374778659953594,-0.19486641965910212,-0.07891189103725332,-0.17478585103584798,-0.7482994157633724,-0.07162178755812842,-0.13976779615388013,-0.6109355606704776,-0.1353392723902671,0.0032971393121446167,0.0,0.04645768312041104,0.006653825174366516,0.014598940704341645,-0.4383937447914752,-0.01171862724273801,0.05664683380723132,-0.008481034480670682,-0.10246823862288396,-0.1373859341507888,12498
5dxZ5L6QQQ8,-3.417635990585268,-0.6021217761847253,-0.19065987739310358,-0.03433656516087347,-0.1134416655769985,-0.02144082332761578,-0.03629556415325093,-0.01072041166380789,-0.4077482135852133,-1.7909577413871354,-0.3835912321454664,-0.4778274965579308,-0.5318021252374834,-0.31035111030774787,-0.5524737710466194,0.014710520040920272,0.5217787806997978,-0.16768069902852878,0.038675207101046855,-0.22401093385842513,-0.21253336307486403,-0.06678624172172709,-0.1552056011506896,-0.018989069987462408,-0.11386230953241697,-0.0008412879108369367,0.33490469890546026,0.0,-0.008268658323654511,0.0,-0.00497561707266421,-0.23248390496042592,-0.1887850071918098,0.1992530324823667,0.010648301271450444,-0.10363465221638501,-0.01591235991354445,-0.08262649124291399,-0.15388357729080293,-0.02291908637094353,0.04526128960302747,-0.0684567991446746,-0.5153729741787108,-0.1536672461137305,-0.25695336476705455,-0.0037136852064087863,-0.0911595543385458,0.01944576913905971,0.10082234691444436,-0.09607507941757887,0.06465898514718216,0.0013941342522441058,-0.08541475974740209,-1.5148710858479033,-0.38868703320539355,-0.6111596120268596,-0.6464816858832849,0.017498788545408317,-0.004206439554184704,0.003293041250990317,-0.01072041166380789,-0.00042064395541846836,-0.039588605404241244,-0.6999395234176093,0.0,0.0,-0.1699882315839673,-0.12675805136567475,0.027113507526402014,4944
iIZHVTjz1vg,-4.174854678391789,-0.7104431208519608,-0.0018713681394892656,-0.008953260972606264,-0.009000448755818347,0.007081892833117002,0.0,0.0,-0.6937212606221252,-2.197309059540281,-0.29607105327776484,-0.8709834100420419,-0.9971101456490663,-0.1074863194544875,-0.05917099658040037,0.009094824322242456,0.5220471381615328,-0.2622920512005329,-0.09133071262319642,-0.07136407140564632,-0.3675295002498338,-0.13704574028554406,-0.24661328933643767,-0.1311696194918725,-0.10599245358069465,-0.021790821573827335,-0.32212367674590237,-0.02955942083105681,-0.0019185559227013482,0.010966192461731764,-0.05528172981671098,-0.606777770053883,-0.08820638466104969,0.12401446141640005,0.02842194689889216,0.06210160627462402,-0.3452618337088116,-0.4061576679439902,0.011841650018692418,-0.18517231202678258,0.09014605090781969,0.001965743705913431,-0.408317129917827,-0.06364265993162888,-0.3157545677960423,-0.0019185559227013482,-0.028919902190156374,-0.098013992866548,-0.13619139305265193,0.0974638826569969,0.0021544948387616225,0.019515873709497922,-0.05833775967157706,-0.944957710929577,-0.12439693081717151,-0.4248452718797393,-0.611086759731406,0.02112522547378326,-0.09644686175040001,0.0038842996286147513,-0.023756565279740738,0.02188519714025146,0.057294661305836464,-0.7116277825673376,0.022524715781151904,0.0463284688441047,-0.026361827626554583,-0.10416827322441746,-0.05592124845761143,6733
q7x7IWPIAgw,-1.7649126657669143,-0.4388454010915126,-0.31693325440420606,-0.09007613288273864,0.0,-0.23188741733602314,-0.0020210966870305713,0.0,-0.12796047281305145,-0.8495846699405973,-0.24165597087207225,-0.2668373778155462,-0.18512753291456363,0.02894169908390065,0.07579136711744283,0.016123881690203526,0.13321040058189437,-0.00727343799383251,-0.04856376269216259,-0.046719819691336956,-0.3496251087691049,-0.2951003900253206,-0.035361710055361595,-0.03446097768898959,0.07321370857702125,-0.06670874106939668,-0.6049523240572461,-0.04906529588008346,-0.030418784314928476,0.0,-0.0028619733120143903,-0.1622916021598364,-0.010991251866177887,0.0432515656439727,-0.05697252894200078,-0.14185617625932567,0.045641933638760124,-0.07902743881313201,0.10276168839627187,0.15638567477368437,-0.06670874106939668,-0.009588986311884956,0.22112834782152024,0.23122128085928528,0.019337748836668833,0.0,-0.006462489239542624,-0.1013343220472036,-0.0860489034440246,-0.07902743881313201,0.027172575759810136,0.010222781379969736,0.03674659813634806,-0.4452803759983208,0.10745264077376482,0.12574484496650973,-0.5696528832812318,-0.16503145045111556,-0.16891145407431885,-0.04956682906800435,0.005708982688681766,0.0,0.04031718619318232,-0.3425312379994363,0.0,0.010916432189442646,-0.0006786868741258667,-0.08050211050620076,-0.02404607868746783,26802
9cXvJEd_mCA,-9.300035011675902,-0.5436288495880475,-0.018206976164837296,0.001949205353389702,-0.033691644431058626,0.0,0.0,0.0,-0.5726489807671002,-6.797314965513458,-1.0707819792428546,-0.689393633467642,-1.4869290976963931,-0.09228706021259825,-1.0373843605138364,-0.08393508537560573,1.817280338743927,-0.16338370864035023,-0.05325977454520392,-0.06679523745803556,-0.41780229810488745,-0.21362714958489737,-0.2008647892172919,-0.0821709311633605,0.039245234789186845,-0.011586257559441926,-0.4861766386340234,-0.003310359302697692,-0.015190642564180465,-0.015190642564180465,-0.03038128512836093,-1.2177989425108606,-0.12509662753753403,-0.42180968337256286,0.03817810654191972,-0.32639731499841146,-0.40010729676388335,-0.3294136485990682,-0.426296145483424,-0.16952535040256028,-0.3451923425673304,-0.03174243907766891,-1.5992962628469698,-1.064488184320148,-0.6489393978896443,-0.06076257025672186,-0.2589050515753979,0.27758082396446815,0.0834560085324203,-0.04789123532822037,0.3600128828492217,0.03155738793652435,-0.0116623341396902,-0.5329349497536802,-0.13874106501126215,-0.8230930829446097,0.2320088962719269,-0.27468374554366015,-0.26534071903964873,0.0,-0.032036464779709777,0.0,0.010225103610133925,-0.20310802027272246,0.0,0.0,-0.018206976164837296,-0.16981937610460107,0.09173190678916449,805
gEhuVWEMZbM,-6.506478056546634,-0.47773164270032487,-0.01814217595838319,-0.039458308394201,-0.053669063351412874,0.027892517168184652,0.0,0.0,-0.5343983316137593,-4.531911193532018,-0.8115725183452405,-0.19314397339610156,-1.497404029718851,-0.35716869734152157,-0.7149185282913662,-0.10839611219530397,0.828736342127784,-0.0117222138122699,-0.01872330956670676,-0.059892786252953634,-0.45292112448917177,-0.19744796455725844,-0.3682775450125426,-0.0778586312959238,-0.14004371944924687,-0.09541967364598333,-0.06034972980794873,-0.013681762210972774,0.0,0.0001763309154130359,0.0,-0.7163092672855109,-0.2629311992413448,-0.17731400766724748,-0.01408656490388327,-0.2691027812808011,-0.2787289324372739,0.06313879192163241,-0.3783084988619263,-0.18819438356077112,-0.03217660000018202,-0.06435320000036404,-0.9670935416925159,-0.3733911415595206,-0.48212000725649107,0.0,-0.45120995619712545,-0.06436552420412944,0.11333337782686898,-0.10920571758112518,0.03612792933051301,0.15057143351194446,-0.04578631301991076,-0.3601265062452237,-0.01713633132798953,0.08563709990325696,-0.2554011107406686,-0.21062064235115163,-0.5059768216993357,0.0,-0.0650585236620162,0.0,0.028950502660662875,-0.06969526832483963,0.0,-0.013681762210972774,-0.08156158051959753,-0.032705592746421125,0.0,7123
nTSVJ0eNGVE,-3.9303152606657576,-0.6065989623400001,-0.0016712603784204139,0.031687245001935566,-0.007958868021624033,0.0,0.0,0.0,-0.6303273393203117,-2.069033318354368,-0.0004576511235807601,-0.9588578495403564,-0.6373153199380637,-0.47886612505848714,-0.4705227930362845,0.002062209313948904,0.435716294323627,-0.2588619276380202,-0.044855368626585124,-0.11422749703948831,0.04808393981216996,-0.11595248973606154,0.1565694901634932,0.03812307972969975,0.0056002045385540045,0.03930241147123477,0.07766172811695293,-0.015917736043248067,-0.015917736043248067,0.004912801433904346,-0.00948190131548388,-0.17468283989679456,0.21590757137092442,-0.05056303780144544,-0.08396230563005563,-0.03581814856478305,0.008740765892681024,-0.17141535910151262,-0.21774002870380427,-0.020978764561712965,-0.16526949360792006,-0.02048683592482759,-0.010377748757796734,0.032522875191145766,-0.04511106034745227,0.0,0.0022104363985094855,0.36324436700485085,0.18953704660832066,0.04008430934229179,-0.0923658549053612,-0.04195752912342593,0.24259400510749773,-0.5055053114118566,-0.12184266350878747,-0.17141535910151262,-0.19647777984286918,-0.267265476913326,-0.10007551614106794,0.01134863616166854,-0.09039814035781985,0.0,-0.06706071231303679,-0.5126693116925249,0.0,0.0,0.09570189072725266,-0.12513145194747508,-0.1774537599587988,8591
n1XJ9pZEXFY,-5.563340890892427,-0.5720674305116225,0.05636496377130301,0.06508789834004938,-0.02060930090655689,0.0010544772563547255,0.0,0.0,-0.6518214465893237,-3.338629495781163,-0.6349446604155777,-0.6915993157408247,-0.8811914938937662,-0.05117884119670357,-0.8335597648353499,-0.07802616689817954,0.5123639325208718,-0.3204490718643117,-0.020799853573150895,-0.1587380963809208,-0.2605266958105812,-0.03555223501797711,-0.16908974124183895,-0.12087605403950022,0.020705864757871423,0.01715875261958416,0.0675882583300873,-0.021663778162911613,-0.0048887059125505405,0.0010544772563547255,-0.029332235475303246,-0.938219529444094,-0.160071965047079,0.07037315980199788,-0.19516455613279854,-0.10764294385535633,-0.2634133112058771,-0.4959596654595584,-0.07131562299082816,0.01275029092757124,0.0510925774895294,-0.04716178498201905,0.04392238964992057,0.045629638541161754,0.05484826754665573,0.008052137681614717,-0.10026675313294335,0.10104698905156484,0.17810494240056396,-0.3280209653253888,0.516678405397605,-0.33588255034040954,-0.018307218691218374,-0.024232376607877804,-0.0877070148719662,-0.1487649818171557,0.25048791782792224,0.00259692384135235,-0.04399835321295486,-0.009777411825101081,-0.07457561861120682,-0.010831889081455806,-0.0048887059125505405,-0.33098611931975386,-0.026552484075462155,0.0,-0.050996013638214856,-0.10045730579953738,-0.03374069716731615,7594
-3Vm7uZ0C38,-4.189259540021297,-0.13465037227560073,0.004777847935973828,0.0268344251708367,0.015037987861090243,-0.017645261787890273,0.0,0.0,-0.11322807166528182,-2.8682358264125405,-0.5303429674043763,-0.31872723522798596,-1.2790266610654601,-0.03767159987082902,-0.46855593022192643,-0.01935051495460402,0.35647177229435933,0.053330938777506054,-0.06877700563138853,-0.019984791579147815,-0.2383227480689345,-0.10574416144904908,-0.11583534559208175,-0.005750036124685054,-0.07499236259853365,-0.019984791579147815,0.0794609198951739,0.02386061875503539,0.0020717856557150305,0.0,0.0,-0.26504268954043564,-0.2551933983750314,0.3343450276308717,0.07655728090799752,-0.033288905348690445,-0.30571948651881964,-0.19724064186467805,-0.007158924231022379,-0.002776229708883693,0.0036080830403451003,0.03214776137789552,0.1016735273331637,0.06736811752505112,0.12320754187589822,0.0,-0.09438442405692848,-0.32267322983249835,0.09103115957316893,-0.05227288781429329,-0.017616640863056476,-0.09992395789573899,-0.24503204680337354,-1.3416169306545367,-0.20208865722927682,-0.4539001701957144,-0.7273029395545545,-0.21919843074608203,-0.035727223493406735,-0.004411315446972568,-0.21595688019473824,0.0,0.0,-0.23550497185625985,0.0,-0.008822630893945136,-0.01881502668351904,-0.026735636817377895,-0.13765279961623586,4778
