feature,median_delta,mean_delta,n,p_raw,p_fdr_bh,sig_fdr_0.05
function,-4.052584969528773,-4.217848297339017,14,0.0001220703125,0.0009358723958333334,True
pronoun,-0.557848140049835,-0.5405250056816862,14,0.0001220703125,0.0009358723958333334,True
casepart,-2.1331711889473244,-2.457098938339707,14,0.0001220703125,0.0009358723958333334,True
ipron,-0.5000489826558715,-0.49191235232293185,14,0.0001220703125,0.0009358723958333334,True
conj,-0.6974877275769256,-0.7985174918537954,14,0.0001220703125,0.0009358723958333334,True
adverb,-0.5167351522987937,-0.524846528224142,14,0.0001220703125,0.0009358723958333334,True
relativ,-0.5712492578989901,-0.7203431765723604,14,0.0001220703125,0.0009358723958333334,True
informal,-0.47553152824200007,-0.4887604557306509,14,0.0001220703125,0.0009358723958333334,True
nonflu,-0.10331825592365071,-0.12869189406296805,14,0.0001220703125,0.0009358723958333334,True
negate,-0.24001449040235767,-0.2540165141204514,14,0.000244140625,0.00140380859375,True
number,0.4740401134222494,0.5229113830498254,14,0.000244140625,0.00140380859375,True
differ,-0.2109629728991535,-0.2498574872435169,14,0.000244140625,0.00140380859375,True
space,-0.2582692281904977,-0.2973676573029468,14,0.0006103515625,0.0032395582932692305,True
posemo,-0.15286177360271236,-0.14610864027485107,14,0.001708984375,0.007861328125,True
auxverb,-0.28122979948404647,-0.3541868617038431,14,0.001708984375,0.007861328125,True
cogproc,-0.3761150959843995,-0.43934140196378246,14,0.0040283203125,0.01544189453125,True
time,-0.45869767383502813,-0.3826268844897934,14,0.0040283203125,0.01544189453125,True
affect,-0.2833487470302043,-0.25312120444219344,14,0.0040283203125,0.01544189453125,True
male,-0.01776077414070803,-0.025176372740971453,14,0.007645761692991623,0.027766187200864316,True
money,-0.038192269758907105,-0.053263147543660724,14,0.008544921875,0.028076171874999997,True
preadj,-0.06907965443184094,-0.07731373653974519,14,0.008544921875,0.028076171874999997,True
tentat,-0.10769875425095293,-0.10943460955915645,14,0.013427734375,0.04211425781250001,True
interrog,-0.02015353618289277,-0.02887226462325555,14,0.0166015625,0.0498046875,True
leisure,-0.052199984150733944,-0.08941721313278665,14,0.020263671875,0.05377666766826923,False
assent,-0.02258842715503681,-0.039435961712316524,14,0.020263671875,0.05377666766826923,False
motion,-0.12084539432363073,-0.11681475601314108,14,0.020263671875,0.05377666766826923,False
quant,-0.1655322038344395,-0.12984185189709804,14,0.029541015625,0.0679443359375,False
ingest,-0.0461744260266391,-0.06624514994716274,14,0.029541015625,0.0679443359375,False
work,-0.21381296155038887,-0.18547533381300832,14,0.029541015625,0.0679443359375,False
adjverb,-0.04506503846700026,-0.03354402548937633,14,0.029541015625,0.0679443359375,False
feel,-0.043194455586691265,-0.03326334942772441,14,0.0352783203125,0.07376376065340909,False
ppron,-0.022485932643822787,-0.055288372132113336,14,0.0352783203125,0.07376376065340909,False
verb,-0.4695393616291055,-0.34876541323309823,14,0.0352783203125,0.07376376065340909,False
family,-0.01479974912711042,-0.014755553372418647,14,0.06188375105213765,0.12558761242933816,False
sad,-0.014918043787743217,-0.017059648123796112,14,0.067626953125,0.13332170758928572,False
filler,-0.02889338792739199,-0.05264218076813105,14,0.08686008151624075,0.16648182290612812,False
negemo,-0.15477099757550383,-0.09067998304302675,14,0.090576171875,0.16891232052364863,False
certain,-0.10820204180181159,-0.0975167576214556,14,0.118896484375,0.2103553185096154,False
achieve,-0.05893268362030202,-0.05966650801328679,14,0.118896484375,0.2103553185096154,False
sexual,0.0,-0.009384987666514574,14,0.12348527214454898,0.2121027166193182,False
friend,-0.006578682118102526,-0.01182376851887553,14,0.13295729296233563,0.2121027166193182,False
bio,-0.18267980731737837,-0.28351234593860114,14,0.13525390625,0.2121027166193182,False
anx,-0.026725023838226,-0.0278699253735206,14,0.13525390625,0.2121027166193182,False
social,-0.15676415661965648,-0.17310191696539942,14,0.13525390625,0.2121027166193182,False
we,-0.00847965838872119,-0.018581994112798927,14,0.15793931050013033,0.24217360943353317,False
discrep,-0.03163544643834682,-0.03116536177468517,14,0.172607421875,0.2589111328125,False
you,0.0,-0.020042052211433865,14,0.20757844233562428,0.304742819599108,False
i,-0.008790325786586464,-0.015471262763656209,14,0.216552734375,0.3049416055484694,False
health,-0.1510322125572534,-0.15760796632079296,14,0.216552734375,0.3049416055484694,False
body,-0.03761093317053621,-0.11123584952940027,14,0.267578125,0.36201746323529416,False
affiliation,0.08724358405279461,0.042382511252518365,14,0.267578125,0.36201746323529416,False
insight,-0.08994885093866067,-0.028790316134583414,14,0.2957763671875,0.38506734596108494,False
drives,-0.04986402170306281,-0.06320342282747582,14,0.2957763671875,0.38506734596108494,False
anger,-0.026398153539428024,-0.02569762944824158,14,0.3258056640625,0.4163072374131944,False
home,0.0,-0.003361899262557955,14,0.3328797545683888,0.4176127830039787,False
swear,0.0,-0.0016837087768990496,14,0.34523107177184,0.42537399914744567,False
see,-0.014011254466589976,-0.0017679395240077817,14,0.3575439453125,0.4328163548519737,False
female,0.0,-0.0046182790829805915,14,0.3739447986092539,0.4448653638627331,False
risk,-0.03382222811195601,-0.0100821246206302,14,0.463134765625,0.5416321835275424,False
shehe,0.0,-0.0011184070927831625,14,0.5001842570707944,0.5673688044313524,False
percept,-0.03923727361092527,-0.021144887807703048,14,0.5015869140625,0.5673688044313524,False
power,-0.027913989737685774,0.012426458776475826,14,0.5416259765625,0.6027772964969758,False
netspeak,0.0,0.006171745251402217,14,0.5754030229127536,0.6302033108092063,False
they,0.0,-0.0004082254389652629,14,0.6547208460185769,0.7058709121137783,False
