feature,median_delta,mean_delta,n,p_raw,p_fdr_bh,sig_fdr_0.05
ipron,-0.2546106431195869,-0.30203364602464083,49,1.4301804185379297e-10,9.868244887911713e-10,True
verb,-0.38866283009032543,-0.47491058924448853,49,2.0410340084708878e-10,1.2802849689499205e-09,True
cogproc,-0.5779158466353298,-0.6024511853934329,49,2.2930635168449953e-10,1.3185115221858723e-09,True
affect,-0.3171477570855754,-0.33872523235668356,49,2.885691685605707e-10,1.531636356206106e-09,True
auxverb,-0.5293086517117835,-0.5800697453318528,49,1.0623715240853926e-09,5.235973940135149e-09,True
informal,-0.2677223907936429,-0.42800613089223205,49,3.503970447127358e-09,1.6118264056785847e-08,True
time,-0.47293368829893634,-0.4737310323050858,49,4.449923451943505e-08,1.9190294886506365e-07,True
posemo,-0.2432945322626745,-0.23504521131320147,49,1.6568287009022242e-07,6.724775315426675e-07,True
preadj,-0.06347164029620955,-0.07313118096059339,49,1.7839937171970632e-07,6.838642582588743e-07,True
tentat,-0.13690797281260114,-0.14656922169458442,49,3.934112875469964e-07,1.3572689420371374e-06,True
affiliation,0.11225752840793912,0.11296424369447539,49,3.934112875469964e-07,1.3572689420371374e-06,True
filler,-0.06071754188996176,-0.06728802068118782,49,7.805761335077932e-07,2.5647501529541775e-06,True
space,-0.19815797567390492,-0.20298553688018559,49,2.6497433829320016e-06,7.618012225929505e-06,True
quant,-0.11628106114213077,-0.1458623411837655,49,2.6497433829320016e-06,7.618012225929505e-06,True
discrep,-0.07697961685017074,-0.07943092059986374,49,2.6497433829320016e-06,7.618012225929505e-06,True
nonflu,-0.04926482813219499,-0.09628665802924759,49,7.306268877016464e-06,2.016530210056544e-05,True
motion,-0.11653045478120039,-0.1508123691185713,49,2.3338948725637465e-05,6.193797931034559e-05,True
bio,-0.2651094832345273,-0.3607579013082957,49,2.5941689163033743e-05,6.629542786108623e-05,True
leisure,-0.0533430158628066,-0.06563706970089803,49,6.172015834238209e-05,0.00015209610448658443,True
feel,-0.06280986927811064,-0.07155136056359539,49,7.151092416890492e-05,0.00015916947637594967,True
ppron,-0.05003382122245725,-0.07027619407976265,49,7.151092416890492e-05,0.00015916947637594967,True
interrog,-0.047327789969364376,-0.05858872734037703,49,7.151092416890492e-05,0.00015916947637594967,True
negemo,-0.07443623736948313,-0.08343328099541973,49,0.0004768490671445136,0.0010282058010303574,True
percept,-0.08663441645369363,-0.12408328247901827,49,0.0006109252446435676,0.0012773891478910957,True
power,-0.10720153851161895,-0.10574578366429724,49,0.0006363445974457704,0.0012914052124634752,True
assent,-0.024376236062198964,-0.0602604224256605,49,0.0006612215517946563,0.0013035510592523225,True
ingest,-0.10209659438270939,-0.21132537156011422,49,0.0012031151653053448,0.0023059707335019108,True
i,-0.01968126847736923,-0.047808641778385126,49,0.00144806584463808,0.0027004471156764193,True
achieve,-0.06237091791987204,-0.05674023759261208,49,0.0026928571355391284,0.004889661640847365,True
reward,-0.028864733062927195,-0.05990293669528786,49,0.002992361941505095,0.005294178819585937,True
anger,-0.0382248449772446,-0.039124635094738,49,0.0033212684940941983,0.005729188152312492,True
female,-0.008930480656689534,-0.012141092512151242,49,0.004251782460917726,0.007155438775690807,True
sad,-0.011990226716244314,-0.016214817109843453,49,0.008681305271633454,0.014262144374826388,True
money,-0.028244132877167205,-0.05997726843559926,49,0.011980892555076395,0.01922515316977375,True
adjverb,-0.027169715374024336,-0.02762964511921639,49,0.012341029425098071,0.019352977962085613,True
swear,0.0,-0.0037456796990380666,49,0.01980910968997144,0.03037396819128954,True
drives,-0.1521280843344277,-0.09144202895935519,49,0.02561853678988868,0.03842780518483302,True
male,-0.008127844019706539,-0.016841651552874853,49,0.02674695290138831,0.039266803195655176,True
certain,-0.0860430095258935,-0.050883107455449245,49,0.035005169024110216,0.050319930472158436,False
hear,0.03327929751704123,0.02327040469130526,49,0.04380240908890798,0.06168094341091123,False
insight,-0.06738151691696048,-0.06080999395095331,49,0.051847060201104966,0.07154894307752485,False
body,-0.05935433195053463,-0.053253009391983144,49,0.06106591186876642,0.0826185866459781,False
work,-0.10499473925099645,-0.05385882426996661,49,0.08348906325065641,0.11078356469798639,False
netspeak,0.0,-0.009515256005537022,49,0.12364826622844463,0.1609760447125034,False
see,-0.025912405560198415,-0.02399015718243178,49,0.150372683231776,0.19214287301838043,False
you,0.0,-0.005986209322442245,49,0.15341882806936255,0.19247089339610937,False
social,-0.03234527299378254,-0.06468267972337087,49,0.15910444784595867,0.19603940895305622,False
friend,-0.004639447533650962,-0.007838260858574614,49,0.18712347510056748,0.22651789091121327,False
health,-0.10083143386926163,-0.08314456412370005,49,0.20131609158336516,0.23949672964227925,False
relig,0.0,-0.002728966676796368,49,0.2958991206765912,0.3414117772642512,False
we,0.0,-0.009049492877351477,49,0.29687980631674016,0.3414117772642512,False
family,-0.009451020678155966,-0.00353323153990908,49,0.35655715386762665,0.4033187478174793,False
cause,-0.011800674138941591,-0.027603194017025687,49,0.49583814624576306,0.5518198724348008,False
they,0.0,-0.00013132705624326936,49,0.6496440323317323,0.7115148925538021,False
home,0.0,0.00044191535146850884,49,0.6754719879085544,0.7282432369639102,False
death,0.0,-0.0011508423506413539,49,0.7063334306572764,0.7498001033131088,False
risk,0.0016766691133083267,-0.005928551158198748,49,0.7749480399920898,0.8014063490608264,False
sexual,0.0,0.0017329391989489695,49,0.7781771795228314,0.8014063490608264,False
anx,0.010845326595769589,0.00844315041809328,49,0.7900989608611368,0.8017180632267418,False
shehe,0.0,-0.005116443908541273,49,0.9479148130096964,0.9479148130096964,False
